number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,model,params_min_child_samples,params_reg_alpha,params_reg_lambda,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_random_strength,params_C,params_penalty,params_threshold
20,0.6958572427504538,2026-01-10 16:23:33.417547,2026-01-10 16:23:55.718989,0 days 00:00:22.301442,,,0.2136615965324728,,,,,COMPLETE,catboost,,,,8.085843480714892,6.0,50.0,0.0024932601733005967,7.3532923995249835,,,
21,0.7070522015371926,2026-01-10 16:23:55.720988,2026-01-10 16:24:35.621283,0 days 00:00:39.900295,,,0.026262136028288422,,,,,COMPLETE,catboost,,,,4.434074392875394,8.0,81.0,0.0002090961631828563,2.0941030123774294,,,
22,0.7069598699967692,2026-01-10 16:24:35.623287,2026-01-10 16:25:19.498326,0 days 00:00:43.875039,,,0.02441781324130208,,,,,COMPLETE,catboost,,,,3.3830242855081374,8.0,91.0,3.252553419134603e-05,1.2192518062547746,,,
23,0.6987044830264847,2026-01-10 16:25:19.501328,2026-01-10 16:26:31.905816,0 days 00:01:12.404488,,,0.04384259528790983,,,,,COMPLETE,catboost,,,,4.290279013500598,9.0,132.0,0.0004948389970891568,2.4723042905350616,,,
24,0.703279899456199,2026-01-10 16:26:31.907814,2026-01-10 16:27:06.494953,0 days 00:00:34.587139,,,0.01657241093071253,,,,,COMPLETE,catboost,,,,5.218083658984938,7.0,78.0,0.018641585492121457,4.10917736545664,,,
25,0.7069770729142068,2026-01-10 16:27:06.497965,2026-01-10 16:28:11.359672,0 days 00:01:04.861707,,,0.023173914105045587,,,,,COMPLETE,catboost,,,,6.6281266657273665,9.0,116.0,0.0012094101880661934,5.213836786357473,,,
26,0.7061845705543363,2026-01-10 16:28:11.362677,2026-01-10 16:28:44.620703,0 days 00:00:33.258026,,,0.03595439039056047,,,,,COMPLETE,catboost,,,,2.387864253154725,8.0,65.0,4.5543138023190304e-05,2.4858677338294166,,,
27,0.6944723492196893,2026-01-10 16:28:44.622991,2026-01-10 16:29:21.884243,0 days 00:00:37.261252,,,0.06582785728925152,,,,,COMPLETE,catboost,,,,3.816494115978139,6.0,95.0,0.01510785442732248,0.9228004951613045,,,
28,0.7069005311110138,2026-01-10 16:29:21.888218,2026-01-10 16:29:53.476715,0 days 00:00:31.588497,,,0.02966737337370929,,,,,COMPLETE,catboost,,,,5.113461166607241,7.0,69.0,0.11873432633415038,6.098880870419556,,,
29,0.6970007126423847,2026-01-10 16:29:53.480714,2026-01-10 16:31:29.719017,0 days 00:01:36.238303,,,0.15904360658042957,,,,,COMPLETE,catboost,,,,1.6434365252616927,10.0,129.0,0.0019683534516560584,4.136049536786949,,,
0,0.5748872982867889,2026-01-10 16:33:36.601385,2026-01-10 16:33:40.287525,0 days 00:00:03.686140,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.0745934328572655,l1,0.379597545259111
1,0.49604038822193774,2026-01-10 16:33:40.289507,2026-01-10 16:33:43.902805,0 days 00:00:03.613298,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.006026889128682512,l1,0.45985284373248053
2,0.46588807734536414,2026-01-10 16:33:43.905827,2026-01-10 16:33:47.379341,0 days 00:00:03.473514,,,,,,,,COMPLETE,meta_learner,,,,,,,,,1.0129197956845732,l1,0.4909729556485983
3,0.6602625550988565,2026-01-10 16:33:47.382343,2026-01-10 16:33:50.919755,0 days 00:00:03.537412,,,,,,,,COMPLETE,meta_learner,,,,,,,,,14.528246637516036,l1,0.2550213529560302
4,0.6402516583125286,2026-01-10 16:33:50.921746,2026-01-10 16:33:54.527526,0 days 00:00:03.605780,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.033205591037519584,l1,0.2873687420594126
5,0.6257562610725683,2026-01-10 16:33:54.530518,2026-01-10 16:33:57.531524,0 days 00:00:03.001006,,,,,,,,COMPLETE,meta_learner,,,,,,,,,1.1462107403425035,l2,0.3099085529881075
6,0.5945934745576188,2026-01-10 16:33:57.533516,2026-01-10 16:34:01.045611,0 days 00:00:03.512095,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.19069966103000435,l1,0.3542703315240835
7,0.6627319121666858,2026-01-10 16:34:01.048611,2026-01-10 16:34:04.205114,0 days 00:00:03.156503,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.9163741808778786,l2,0.2511572371061875
8,0.4892144514022056,2026-01-10 16:34:04.208111,2026-01-10 16:34:07.475580,0 days 00:00:03.267469,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.0021147447960615704,l2,0.4425192044349383
9,0.6098667956909689,2026-01-10 16:34:07.476571,2026-01-10 16:34:10.770307,0 days 00:00:03.293736,,,,,,,,COMPLETE,meta_learner,,,,,,,,,0.03334792728637585,l2,0.33204574812188037
10,0.6895746872954147,2026-01-10 16:34:10.772285,2026-01-10 16:34:14.180660,0 days 00:00:03.408375,,,,,,,,COMPLETE,meta_learner,,,,,,,,,57.91410201883705,l2,0.20226419579488802
11,0.684956343633905,2026-01-10 16:34:14.183659,2026-01-10 16:34:17.617266,0 days 00:00:03.433607,,,,,,,,COMPLETE,meta_learner,,,,,,,,,45.86186478485575,l2,0.211617559988355
12,0.6881317551644383,2026-01-10 16:34:17.620264,2026-01-10 16:34:21.027865,0 days 00:00:03.407601,,,,,,,,COMPLETE,meta_learner,,,,,,,,,82.72486875375517,l2,0.20554174270717407
13,0.689980650751557,2026-01-10 16:34:21.030862,2026-01-10 16:34:24.453788,0 days 00:00:03.422926,,,,,,,,COMPLETE,meta_learner,,,,,,,,,97.35952053785651,l2,0.20140033104180366
14,0.6617665062778489,2026-01-10 16:34:24.455786,2026-01-10 16:34:27.785336,0 days 00:00:03.329550,,,,,,,,COMPLETE,meta_learner,,,,,,,,,7.428200736556506,l2,0.25271535419343094
15,0.6900242389437724,2026-01-10 16:34:27.787322,2026-01-10 16:34:31.150450,0 days 00:00:03.363128,,,,,,,,COMPLETE,meta_learner,,,,,,,,,8.003067203028147,l2,0.2012491924786307
16,0.5619435818656245,2026-01-10 16:34:31.152987,2026-01-10 16:34:34.375929,0 days 00:00:03.222942,,,,,,,,COMPLETE,meta_learner,,,,,,,,,6.4045029273724365,l2,0.39627474330039414
